entity_a,entity_b,transaction_count
HOME PARTNERS OF AMERICA 2022-1 TRUST SINGLE-FAMILY RENTAL PASS-THROUGH CERTIFICATES(+),HP TEXAS I LLC,1
HOME PARTNERS OF AMERICA 2022-1 TRUST SINGLE-FAMILY RENTAL PASS-THROUGH CERTIFICATES(+),SFR BORROWER 2022-1 LLC,1
BOILER MANAGEMENT LTD,CRP/ARGYLE GUTHRIE GP LLC(+),1
AC CHERICO LLC,CRP/ARGYLE GUTHRIE OWNER LP,1
BS LIVING TRUST THE,CERBERUS DEVELOPMENT LLC(+),1
CERBERUS HOLDINGS LP,CORIAS HOMES INC,1
EPH 2 ASSETS LLC,RH PARTNERS OWNERCO LLC,1
ARVM 5 LLC,RH PARTNERS OWNERCO LLC,1
FIREBIRD SFE I LLC,RH PARTNERS OWNERCO LLC,1
LHF 4 ASSETS LLC,RH PARTNERS OWNERCO LLC,1
RH PARTNERS OWNERCO LLC,TRANS AM SFE II LLC,1
JEFF 1 LLC,"RH PARTNERS OWNERCO, LLC",1
MUPR 3 ASETS LLC,"RH PARTNERS OWNERCO, LLC",1
SRP SUB LLC,TARBERT LLC,1
REDFINNOW BORROWER LLC,VISCERIN LIMITED LIABILITY COMPANY,1
CEBERRY VENTURE LLC,REDFINNOW BORROWER LLC,1
3 DOGS RENTAL LLC,REDFINNOW BORROWER LLC(+),1
PURCHASING FUND 2020-1 LLC,REDFINNOW BORROWER LLC(+),1
AUSTIN TRUST COMPANY,REDFINNOW BORROWER LLC(+),1
POLYDACTYL HOLDINGS LLC,REDFINNOW BORROWER LLC,1
AUDREE BOHM REVOCABLE LIVING TRUST,REDFINNOW BORROWER LLC,1
CARMA PROPERTIES WESTPORT LLC(+),KIKAS IRRIGATION LLC,1
BROOKIIELD RESIDENTIAL TEXAS HOMES LLC,CARMA PROPERTIES WESTPORT LLC,1
BROOKFIELD RESIDNETIAL TEXAS HOMES LLC,CARMA PROPERTIES WESTPORT LLC,1
BROOKFIELD RESIDENTIAL TEXAS HOMES LLC A TEXARS,CARMA PROPERTIES WESTPORT LLC,1
BROOKFIELD RESIDENTIAL TEXAS HOMES LLC A TEXAS LLC,CARMA PROPERTIES WESTPORT LLC,1
KAISER PROPERTIES BLUE LLC,MOVEMENT MORTGAGE LLC,1
KAISER PROPERTIES BLUE LLC,SECURITYNATIONAL MORTGAGE COMPANY,1
EVERETT FINANCIAL INC,KAISER PROPERTIES BLUE LLC,1
DIBRUTE INVESTMENTS LLC,KAISER PROPERTIES BLUE LLC,1
HALL REAL ESTATE GROUP LLC,KAISER PROPERTIES BLUE LLC,1
ASSETS RECOVERY 25 LLC,KAISER PROPERTIES BLUE LLC,1
CIO MW LOAN 1 LLC,LNV CORPORATION,1
EQUITRUST LIFE INSURANCE COMPANY,LNV CORPORATION,1
LNV CORPORATION,OUTSOURCE SERVICES MANAGEMENT LLC,1
LNV CORPORATION,SERAFIN LEASING COMPANY LP,1
G SPARKS PROPERTIES LP,LNV CORPORATION,1
LIVE OAK BREWING COMPANY LC,LNV CORPORATION,1
ALORI PROPERTIES - 2728 RIO GRANDE LTD,LNV CORPORATION,1
LNV CORPORATION,PHC WEST CAMPUS LP,1
AMERICAN HOMES 4 RENT PROPERTIES TWO LLC,LNV CORPORATION(+),1
LNV CORPORATION,SERAFIN LEASING CO LP,1
LNV CORPORATION,SOUTHERN SHUTTERS INC,1
BEAL SERVICE CORPORATION,LNV CORPORATION,1
LNV CORPORATION,OAK CREEK REALTY FUND-II LLC,1
LNV CORPORATION,RKM ENTERPRISES INC,1
AMERIQUEST MORTGAGE COMPANY,LNV CORPORATION,1
LNV CORPORATION,PAUL JACOBS FAMILY LLC,1
ALTERNATE REAL ESTATE LLC,LNV CORPORATION,1
LNV CORPORATION,SWANEE LOFTS LP,1
HORSESHOE BAY RESORT LTD,LNV CORPORATION,1
FEDERAL DEPSOIT INSURANCE CORPORATION,LNV CORPORATION,1
FEDERAL DEPOSIT NSURANCE CORPORATION,LNV CORPORATION,1
LNV CORPORATION,VIJU LIMITED PARTNERSHIP,1
BHG INC,LNV CORPORATION,1
LNV CORPORATION,NATIONSTAR MORTGAGE LLC,1
GREEN TREE FINANCIAL SERVICING CORPORATION,LNV CORPORATION,1
BETWEEN PHC WEST CAMPUS LP,LNV CORPORATION THE BENEFICIARY,1
FRONT YARD RESIDENTIAL LP(+),RESI EO SUB LLC,1
FRONT YARD RESIDENTIAL LP(+),RESI SFR SUB LLC,1
HPA JV BORROWER 2019-1 ML LLC,METROPOLITAN LIFE INSURANCE COMPANY,1
HPA II TEXAS SUB 2021-1 LLC,HPA US1 LLC,1
HPA II TEXAS SUB 2020-1 LLC,HPA US1 LLC,1
HPA II TEXAS SUB 2020-1 ML LLC,HPA US1 LLC,1
HPA II TEXAS SUB 2020-1 GA LLC HPA II TEXAS,HPA US1 LLC,1
HPA II TEXAS SUB 2019-1 LLC,HPA US1 LLC,1
HPA US1 LLC,HPA US1 TEXAS LEDNDING LLC,1
HPA US1 TEXAS LENDING LLC,HPA US1 TEXAS LENDING LLC,1
HPA US1 TEXAS LENDING LLC,WILMINGTON TRUST,1
HP TEXAS I LLC,HPS TEXAS LENDING LLC,1
HP TEXAS I LLC(+),HPA TEXS LENDING LLC,1
HP TEXAS I LLC(+),HPA BORROWER 2016-1 LLC,1
HP TEXAS I LLC(+),WILMINGTON TRUST,1
HP TEXAS I LLC(+),WILMINGTON SAVINGS FUND SOCIETY FSB,1
HP TEXAS I LLC(+),RHPA TEXAS LENDING LLC,1
HOME PARTNERS GA 2015 LLC,HP TEXAS I LLC,1
HP TEXAS I LLC,HPA TX LLC,1
HP TEXAS LLC(+),HPA TEXAS LENDING LLC,1
BRIJ EDUCATIONAL SERVICES INC,SFR ACQUISITIONS 6 LLC,1
SFR BORROWER 2021-1 LLC,WILMINGTON TRUST,1
SFR BORROWER 2021-2 LLC,WILMINGTON TRUST,1
SFR BORROWER 2021-2 LLC(+),WILMINGTON TRUST,1
SFR BORROWER 2022-1 LLC,WILMINGTON TRUST,1
SFR BORROWER 2022-1 LLC,SFR MANAGING BORROWER LLC,1
MORGAN STANLEY MORTGAGE CAPITAL HOLDINGS,SFR II BORROWER 2021-3 LLC,1
PURCHASING FUND(+),RWA CREDIT SPV I LLC,1
PURCHASING FUND 2023-1 LLC,PURCHASING FUND(+),1
NEXERA HOLDING LLC,PURCHASING FUND,1
PURCHASING FUND(+),QUANTA FINANCE LLC,1
PULTE HOMES OF TEXAS LP,PURCHASING FUND 2019 - 2 LLC,1
PURCHASING FUND 2019 3 LLC,QUANTA FINANCE LLC,1
BRECKENRIDGE PROPERTY FUND 2016 LLC,PURCHASING FUND 2019-1 LLC,1
DFH WILDWOOD LLC,PURCHASING FUND 2019-1 LLC,1
DREES CUSTOM HOMES LP,PURCHASING FUND 2019-1 LLC,1
BGRS LLC,PURCHASING FUND 2019-1 LLC,1
PURCHASING FUND 2019-1 LLC,SMART DIGS 2908 GOVALLE AVE LLC,1
LENNAR HOMES OF TEXAS SALES AND MARKETING LTD,"PURCHASING FUND 2019-1, LLC",1
NEXERA HOLDINGS LLC,PURCHASING FUND 2019-2 LLC,1
ANCHOR ASSETS II LLC,PURCHASING FUND 2019-2 LLC,1
LIVE CINCO LLC,PURCHASING FUND 2019-2 LLC,1
LEADINGHOME FUNDING CORPORATION,PURCHASING FUND 2019-2 LLC,1
HOMEWARD INC,PURCHASING FUND 2019-2 LLC,1
10416 MARGRA LLC,PURCHASING FUND 2019-2 LLC,1
LENDINGHOTNE FUNDING COTPORATION,PURCHASING FUND 2019-2 LLC,1
PULTE HOMES OF TEXAS LP,PURCHASING FUND 2019-2 LLC,1
HOMEARD PROPERTIES LLC,PURCHASING FUND 2019-2LLC,1
PURCHASING FUND 2019-3(+),QUANTA FINANCE LLC,1
LAKSA LOVE REALTY LLC,ZILLOW HOMES LOANS LLC,1
HOME POINT FINANCIAL CORPORATION,ZILLOW HOMES PROP;ERTY TRUST,1
SECURITYNATIONAL MORTGAGE COMPANY,ZILLOW HOMES PROPERTY TRUST,1
WILLOW BEND MORTGAGE COMPANY LLC,ZILLOW HOMES PROPERTY TRUST,1
OVM FINANCIAL INC,ZILLOW HOMES PROPERTY TRUST,1
LENDSURE MORTGAGE CORP,ZILLOW HOMES PROPERTY TRUST,1
BAPTAT DAHASAHASRA TRUST THE,ZILLOW HOMES PROPERTY TRUST,1
SFR V TRANCHE 3 BORROWER LLC SFR V,ZILLOW HOMES PROPERTY TRUST,1
CALIBER HOME LOANS INC,ZILLOW HOMES PROPERTY TRUST,1
"SFR JV-2 PROPERTY, LLC",ZILLOW HOMES PROPERTY TRUST(+),1
P5 2O21-2 BORROWER LLC,ZILLOW HOMES PROPERTY TRUST,1
VICKI Y STONE TRUST,ZILLOW HOMES PROPERTY TRUST,1
PURCHASING FUND 2020-1 LLC,ZILLOW HOMES PROPERTY TRUST(+),1
GRUBER MICHAEL FRANCIS AND SARAH HARRIGAN TRUST,ZILLOW HOMES PROPERTY TRUST,1
ORCHARD PROPERTY I LLC,ORCHARD PROPERTY V LLC,1
FCI LENDER SERVICES INC,ORCHARD PROPERTY I LLC,1
ORCHARD PROPERTY I LLC,PETRICHOR DEVELOPMENT LLC,1
ORCHARD PROPERTY I LLC,TAE PROPERTIES LLC,1
10814 WILDWOOD LLC,ORCHARD PROPERTY I LLC,1
ORCHARD PROPERTY II LLC,YANWEN MANAGEMENT LLC,1
NANNIYUR FAMILY TRUST,ORCHARD PROPERTY II LLC,1
HOME OPTION CAPITAL FUND LLC,MATHESON LAW PARTNERS PLLC,1
HPA II BORROWER 2019-1 LLC,WILMINGTON TRUST,1
HPA II BORROWER 2020-1 LLC,WILMINGTON TRUST,1
HPA II BORROWER 2021-1 LLC,WILMINGTON TRUST,1
FIREBIRD SFE I LLC(+),RH PARTNERS OWNERCO LLC,1
RH PARTNERS OWNERCO LLC,TRANS AM SFE II LLC(+),1
LENDINGHOME FUNDING CORP,WOLFE CAPITAL INVESTMENTS LLC,1
INOVA INVESTMENTS INC,LENDINGHOME FUNDING CORP(+),1
LENDINGHOME FUNDING CORP(+),YOUR LOVED HOME SOLUTIONS INC,1
LENDINGHOME FUNDING CORPORATION(+),MARKET PROPERTIES LP,1
LENDINGHOME FUNDING CORPORATION(+),TP KC LLC,1
AUSSA RESIDENTIAL LLC,LENDINGHOME FUNDING CORPORATION,1
CZSR LLC,LENDINGHOME FUNDING CORPORATION,1
LENDINGHOME FUNDING CORPORATION,TP KC LLC,1
LENDINGHOME FUNDING CORPORATION,THELA HOMES LLC,1
HCRE TEXAS LLC,LENDINGHOME FUNDING CORPORATION,1
LENDINGHOME FUNDING CORPORATION,NATIONWIDE T&L HOLDINGS,1
LENDINGHOME FUNDING CORPORATION(+),MARELI PROPERTIES LLC,1
AUSSA RESIDENTIAL LLCN,LENDINGHOME FUNDING CORPORATION,1
LENDINGHOME FUNDING CORPORATION,NATIONWIDE T AND L HOLDINGS LLC,1
LENDINGHOME FUNDING CORPORATION,LOEFFLER REALTY LLC,1
LENDINGHOME FUNDING CORPORATION,TRIDENT REAL ESTATE HOLDINGS LLC,1
LENDINGHOME FUNDING CORPORATION,SCOTEX INVESTMENTS LLC,1
DENALI OPPORTUNITIES INC,LENDINGHOME FUNDING CORPORATION,1
LENDINGHOME FUNDING CORPORATION(+),MARRELI PROPERTIES LLC,1
CLHG ENTERPRISES LLC,LENDINGHOME FUNDING CORPORATION,1
LENDINGHOME FUNDING CORPORATION(+),LONESTAR CAPITAL HOLDINGS LLC,1
FRARY BROS LLC,LENDINGHOME FUNDING CORPORATION,1
LENDINGHOME FUNDING CORPORATION,LIVE CINCO LLC,1
HOMEARD PROPERTIES LLC,LENDINGHOME FUNDING CORPORATION,1
AMNE AUSTIN REALTY LLC - SERIES R,LENDINGHOME FUNDING CORPORATION,1
LENDINGHOME FUNDING CORPORATION,PUCHASING FUND 2019-2 LLC,1
70 RAINEY STREET OWNER LLC,LENDINGHOME FUNDING CORPORATION,1
LENDINGHOME FUNDING CORPORATION,PURCHASING FUNDING 2019-2 LLC,1
10416 MARGRA LLC,LENDINGHOME FUNDING CORPORATION,1
LENDINGHOME FUNDING CORPORATION,PULTE HOMES OF TEXAS LP,1
LENDING HOME FUNDING CORP,TEXAS CAPITOL LLC,1
LENDING HOME FUNDING CORPORATION,TEXAS CAPITOL LLC,1
DOWNUNDER MANAGEMENT LLC,KIAVI FUNDING,1
11701 CORUM RIDGE TRUST,KIAVI FUNDING,1
FRANK PAYS CASH LLC,KIAVI FUNDING INC,1
FAIRWAY REI LLC,KIAVI FUNDING INC,1
CIRCLE STAR NOTARY SERVICES LLC,KIAVI FUNDING INC(+),1
KIAVI FUNDING INC,MK REDEVELOPMENT LLC,1
KIAVI FUNDING INC,KTB HOLDINGS LLC,1
FRESH REMODELS LLC - FRESH TX 4 SERIES,KIAVI FUNDING INC,1
HUBBSELEVATION LLC,KIAVI FUNDING INC,1
FRESH REMODELS LLC - FRESH TX-1 SERIES,KIAVI FUNDING INC,1
KIAVI FUNDING INC(+),WOLFE CAPITAL INVESTMENTS LLC,1
KIAVI FUNDING INC,KITB HOLDINGS KKC,1
JSCORE LLC,KIAVI FUNDING INC,1
KIAVI FUNDING INC(+),LHOME MORTGAGE TRUST 2024-RTL5,1
KIAVI FUNDING INC(+),ROMAN & DUARTE HOLDINGS LLC,1
KIAVI FUNDING INC,REVISION HOMES LLC,1
KIAVI FUNDING INC,TLC CASES CONSTRUCTION LLC,1
AREIA LLC,KIAVI FUNDING INC(+),1
KIAVI FUNDING INC,NATLAUR LLC,1
KIAVI FUNDING INC,NORTH OAKS CAPITAL LLC,1
FRESH REMODELS LLC- FRESH TX 3 SERIES,KIAVI FUNDING INC,1
KIAVI FUNDING INC(+),WEST TEXAS DOMINION PROPERTIES LTD,1
KIAVI FUNDING INC(+),NATIONWIDE T & L HOLDINGS LLC,1
KIAVI FUNDING INC,MOMMA KAYS CORNER LLC,1
KIAVI FUNDING INC,TDH REALTY LLC,1
ARSENAL PROPERTY STRATEGIES LLC,KIAVI FUNDING INC(+),1
COMERCOR GROUP LLC,KIAVI FUNDING INC,1
KIAVI FUNDING INC(+),LONG RIVER PROPERTIES LLC,1
KIAVI FUNDING INC,NEWTOWN VIBE HOLDINGS LLC,1
KIAVI FUNDING INC,UP-RIGHT INVESTMENTS LLC,1
KIAVI FUNDING INC(+),LHOME MORTGAGE TRUST 2023-RTL2,1
FRESH REMODELS LLC-FRESH TX 1 SERIES,KIAVI FUNDING INC,1
HOME COLLECTIVE MANAGEMENT LLC,KIAVI FUNDING INC,1
FLOW PROPERTY GROUP LLC,KIAVI FUNDING INC,1
KIAVI FUNDING INC,LEFAM REALTY LLC,1
INSPIRATION HILLS LLC,KIAVI FUNDING INC,1
KIAVI FUNDING INC(+),LHOME MORTGAGE TRUST 2024-RTL3,1
KIAVI FUNDING INC(+),LHOME MORTGAGE TRUST 2024-RTLL,1
BRIGHTLAND HOMES LTD,KIAVI FUNDING INC,1
3RD CHANCE CHARM LLC,KIAVI FUNDING INC,1
KIAVI FUNDING INC,REAL TECH CAPITAL LLC,1
DL PHILLIPS CONSTRUCTION INC,KIAVI FUNDING INC,1
BHATNAGAR PROPERTIZ LLC,KIAVI FUNDING INC,1
KIAVI FUNDING INC(+),LHOME MORTGAGE TRUST 2022-RTL2,1
KIAVI FUNDING INC,REALTECH CAPITAL LLC,1
KIAVI FUNDING INC(+),RICHMOND LAMBETH LLC - SERIES 1302 FAIRBANKS,1
KIAVI FUNDING INC,LHOME MORTGAGE TRUST 2021-RTL3,1
KIAVI FUNDING INC(+),LHOME MORTGAGE TRUST 2022-RTL3,1
KIAVI FUNDING INC(+),WILMINGTON SAVINGS FUND SOCIETY,1
KIAVI FUNDING INC,SOLID GROUND DEVELOPMENT & VENTURE CAPITALISTS LLC,1
KIAVI FUNDING INC,MODERN REAL INVESTMENTS LLC,1
KIAVI FUNDING INC,NEWREZ LLC,1
CIRCLE STAR NOTARY SERVICES LLC,KIAVI FUNDING INC,1
CAPITAL CITY REINVEST LLC,KIAVI FUNDING INC,1
CASA MILAGROS LLC,KIAVI FUNDING INC,1
KIAVI FUNDING INC,OPEN BOOK REAL-ESTATE LLC,1
PURCHASING FUND 2023-2 LLC,TUSKER CAPITAL FUND,1
TEXAS CAPITOL LLC,TUSKER CAPITAL FUND,1
TUSKER CAPITAL FUND,TUSKER CAPITAL FUND LLC,1
AMPLIFY HOMES LLC,TUSKER CAPITAL FUND,1
DOORS DEVELOPMENT GOLD LLC,TUSKER CAPITAL FUND,1
CLUBWAY INVESTMENTS LLC,TUSKER CAPITAL FUND,1
DOORS DEVELOPMENT LLC,TUSKER CAPITAL FUND,1
D MARTIN HOMES LLC,TUSKER CAPITAL FUND,1
MARTIN-AYERS DEVELOPMENT LLC,TUSKER CAPITAL FUND,1
9402 MOUNTAIN QUAIL LLC,TUSKER CAPITAL FUND LLC,1
PURCHASING FUND 2025-4 LLC,TUSKER CAPITAL FUND LLC(+),1
TUPACK AUSTIN INVESTMENTS INC,TUSKER CAPITAL FUND LLC,1
D SAUCEDO PROPERTIES LLC,TUSKER CAPITAL FUND LLC(+),1
TUPACK AUSTIN INVESTMENTS LLC,TUSKER CAPITAL FUND LLC,1
AVAS ELEGANT HOMES LLC,TUSKER CAPITAL FUND LLC,1
ICRE VENTURES LLC,TUSKER CAPITAL FUND LLC,1
R AND R INVESTMENTS LLC,TUSKER CAPITAL FUND LLC(+),1
ICRE VENTURES LLC,TUSKER CAPITAL FUND LLC(+),1
R AND R AUSTIN INVESTMENTS LLC,TUSKER CAPITAL FUND LLC(+),1
TUSKER CAPITAL FUND LLC(+),WESNIC PROPERTIES LLC,1
TRIPLE 8 HOLDINGS LLC,TUSKER CAPITAL FUND LLC(+),1
TEXAS CAPITOL LLC,TUSKER CAPITAL FUND LLC,1
AVA'S ELEGANT HOMES LLC,TUSKER CAPITAL FUND LLC,1
AUSTIN METRO Q2 2021 LLC,TUSKER CAPITAL FUND LLC,1
ACED CONSTRUCTION LLC,TUSKER CAPITAL FUNDING LLC,1
BRODIE LANE APARTMENT HOMES LP,GENESIS CAPITAL ADVISORS LLC(+),1
GC PRIME PROPERTIES LLC,GENESIS CAPITAL LLC,1
GENESIS CAPITAL LLC,RUSTY BUICK HOLDINGS II LLC,1
GENESIS CAPITAL LLC(+),HERITAGE TITLE COMPANY,1
2709 ADDITION LLC,GENESIS CAPITAL LLC,1
GENESIS CAPITAL LLC,PHILCO PROPERTIES LLC,1
GENESIS CAPITAL LLC,THADDEUS DREW ENTEPRISES LLC,1
GENESIS CAPITAL LLC,TURK INVESTMENTS LLC,1
GENESIS CAPITAL LLC,VELASCO GROUP INC INC,1
GENESIS CAPITAL LLC,THADDEUS DREW ENTERPRISW LLC,1
2709 ADDISON LLC,GENESIS CAPITAL LLC,1
GENESIS CAPITAL LLC,WTH MANAGEMENT TRUST,1
GENESIS CAPITAL LLC(+),VERITAS FINANCIAL LLC,1
AMNE AUSTIN REALTY LLC-SERIES F,GENESIS CAPITAL MASTER FUND II LLC,1
AMNE AUSTIN REALTY LLC - SERIES D,GENESIS CAPITAL MASTER FUND II LLC,1
AMNE AUSTIN REALTY LLC - SERIES C,GENESIS CAPITAL MASTER FUND II LLC,1
GENESIS CAPITAL REAL ESTATE ADVISORS INC(+),NOHO REAL PROPERTY LLC,1
HDZ-INTERIORS LLC,HOUSEMAX FUNDING,1
CHREAR LLC,"HOUSEMAX FUNDING , LLC",1
HOUSEMAX FUNDING FUN I LLC,SCHEEL REALTY LLC,1
HOUSEMAX FUNDING FUN I LLC,NEVAR6 LLC,1
HOUSEMAX FUNDING FUND 1 LLC,PRECISE CUSTOM HOMES INC,1
HOUSEMAX FUNDING FUND 1 LLC,MCCARLEYS LLC,1
HOUSEMAX FUNDING FUND 1 LLC,TEXAS CAPITOL LLC,1
HOUSEMAX FUNDING FUND I ILC,MID CENTURY CUSTOM HOMES LLC,1
HOUSEMAX FUNDING FUND I INC,WMP HOMES LLC,1
HOUSEMAX FUNDING FUND I LLC,US MORTGAGE LOAN TRUST III,1
HOUSEMAX FUNDING FUND I LLC(+),WILMINGTON SAVINGS FUND SOCIETY,1
HEARTWOOD REG HOLDINGS LLC,HOUSEMAX FUNDING FUND I LLC,1
2006 PRATHER LLC,HOUSEMAX FUNDING FUND I LLC,1
HOLLOW CREEEK CONDOS LLC,HOUSEMAX FUNDING FUND I LLC,1
HOUSEMAX FUNDING FUND I LLC(+),TOORAK CAPITAQL PARTNERS LLC,1
HOUSEMAX FUNDING FUND I LLC,SWIC OFFICE LLC,1
HOUSEMAX FUNDING FUND I LLC,YALLA PROPERTIES LLC,1
HOUSEMAX FUNDING FUND I LLC,SOUTHERN SOJOURN PROPERTIES LLC,1
BODHI PARTNERS LLC,HOUSEMAX FUNDING FUND I LLC,1
HOUSEMAX FUNDING FUND I LLC,MODERN REMEDY HOMES LLC,1
HOUSEMAX FUNDING FUND I LLC(+),REIGO SECURITIZATION SPONSOR 2021-1 LLC,1
FOREVER YOUNG CAPITAL SERIES LLC,HOUSEMAX FUNDING FUND I LLC,1
CHREAR LLC,HOUSEMAX FUNDING FUND I LLC,1
HOUSEMAX FUNDING FUND I LLC,SCHEEL REALTY LLC,1
CFIN 2022-RTLI DEPOSITER LLC,HOUSEMAX FUNDING FUND I LLC(+),1
HOUSEMAX FUNDING FUND I LLC,WEST-FALL TRAIL LLC,1
ATX LUXURY BUILDERS LIMITED LIABILITY COMPANY,HOUSEMAX FUNDING FUND I LLC,1
1106 SOUTHWOOD LLC,HOUSEMAX FUNDING FUND I LLC,1
ATLAS REAL ESTATE LLC,HOUSEMAX FUNDING FUND I LLC,1
HOUSEMAX FUNDING FUND I LLC,URBAN OAK HOMES LLC,1
ALFAR CAM LLC,HOUSEMAX FUNDING FUND I LLC(+),1
11708 CHERRY LN LLC,HOUSEMAX FUNDING FUND I LLC,1
HOUSEMAX FUNDING FUND I LLC,PACIFIC RBLF REO LLC,1
HOUSEMAX FUNDING FUND I LLC,SONTAKEY FAMILY INVESTMENTS LLC,1
814 ELIZABETH LLC,HOUSEMAX FUNDING FUND I LLC,1
HOUSEMAX FUNDING FUND I LLC,SPACE BUILD & REMODELING LLC,1
HOUSEMAX FUNDING FUND I LLC(+),PACIFIC RBLF REO LLC,1
HOUSEMAX FUNDING FUND I LLC,PASSAGE MARKETING LLC,1
406 REDBUD LLC,HOUSEMAX FUNDING FUND I LLC,1
17004 HURST VIEW LLC,HOUSEMAX FUNDING FUND I LLC,1
HOUSEMAX FUNDING FUND I LLC(+),TOLESOAZ CORP,1
HOUSEMAX FUNDING FUND I LLC,TAERT14 LLC,1
ATX LUXURY BUILDERS LLC,HOUSEMAX FUNDING FUND I LLC(+),1
AA OPERATIONS LLC,HOUSEMAX FUNDING FUND I LLC,1
HOUSEMAX FUNDING FUND I LLC,REIGO SECURITIZATION SPONSOR 2021-1 LLC,1
BG ENDEAVORS LLC,HOUSEMAX FUNDING FUND I LLC,1
HOUSEMAX FUNDING FUND I LLC,IMPERIO PROPERTIES LLC,1
ACI FUND 2,HOUSEMAX FUNDING FUND I LLC,1
1162 HOLMES LLC,HOUSEMAX FUNDING FUND I LLC,1
HOUSEMAX FUNDING FUND I LLC,SOUTHERN LEGACY OF TEXAS LLC,1
HOUSEMAX FUNDING FUND I LLC,JAMR PROPERTIES LLC,1
HOUSEMAX FUNDING FUND I LLC,PANDA INVESTMENT FIRM LLC,1
HOUSEMAX FUNDING FUND I LLC,LAKE HAUSTIN PROPERTIES LLC,1
HOUSEMAX FUNDING FUND I LLC,INWOOD FOREST LLC,1
DANLIVO PROPERTIES INC,HOUSEMAX FUNDING FUND I LLC,1
HOUSEMAX FUNDING FUND I LLC,IDAN FLIPS LLC,1
HOUSEMAX FUNDING FUND I LLC,PANDA HOMES BUILDER LLC,1
FLIP 6617 OLT LLC,HOUSEMAX FUNDING FUND I LLC,1
HOUSEMAX FUNDING FUND I LLC,NEW PATH SOLUTIONS LLC,1
CASH HOME INVESTORS LLC,HOUSEMAX FUNDING FUND I LLC,1
ELATION ENTERPRISES LLC,HOUSEMAX FUNDING FUND I LLC,1
HOUSEMAX FUNDING FUND I LLC,TXLANDBUYER LIMITED LIABILITY COMPANY,1
ALFAR CAM LLC,HOUSEMAX FUNDING FUND I LLC,1
1106 ALGARITA HOLDINGS,HOUSEMAX FUNDING FUND I LLC,1
8801 TEXAS SUN LLC,HOUSEMAX FUNDING FUND I LLC,1
A BAERS DEN LLC,HOUSEMAX FUNDING FUND I LLC,1
4902 TAHOE TRAIL LLC,HOUSEMAX FUNDING FUND I LLC,1
DFH COVENTRY LLC,HOUSEMAX FUNDING FUND I LLC,1
HOUSEMAX FUNDING FUND I LLC,RLC HOME INVESTMENTS LLC,1
DROCNOC9 LLC,HOUSEMAX FUNDING FUND I LLC,1
HOUSEMAX FUNDING FUND I LLC,REAL EQUITY TX LLC,1
HOUSEMAX FUNDING FUND I LLC,MIDCENTURY CUSTOM HOMES LLC,1
EVORGKOA10 LLC,HOUSEMAX FUNDING FUND I LLC,1
HOUSEMAX FUNDING FUND I LLC,SALUDA GRADE ALTERNATIVE MORTGAGE TRUST 2021-RTL1,1
HOUSEMAX FUNDING FUND I LLC,MARELI PROPERTIES LLC,1
HOUSEMAX FUNDING FUND I LLC,REDWOOD BPL HOLDINGS 2 LLC,1
HOUSEMAX FUNDING FUND I LLC,RUBY ANNE DESIGNS LLC,1
HOUSEMAX FUNDING FUND I LLC,INGWOOD FOREST LLC,1
H W WALLACE JR. TESTAMENTARY TRUST,HOUSEMAX FUNDING FUND I LLC,1
5505 MANAGEMENT GROUP LLC,HOUSEMAX FUNDING FUND I LLC,1
HOUSEMAX FUNDING FUND I LLC,MARKET PROPERTIES LP,1
ANT IMPROVEMENTS LLC,HOUSEMAX FUNDING FUND I LLC(+),1
PARK PLACE FINANCE INC,PARK PLACE FINANCE INC(+),1
FIFTH AUSTIN HOLDING LLC,PARK PLACE FINANCE LLC,1
PARK PLACE FINANCE LLC,VHM PROPERTY HOLDINGS LLC,1
PARK PLACE FINANCE LLC,STACK & STANDARD LLC,1
4605 AVE F LLC,PARK PLACE FINANCE LLC,1
HECHO EN 58 LLC,PARK PLACE FINANCE LLC,1
OVERLOOK DR LLC,PARK PLACE FINANCE LLC,1
PARK PLACE FINANCE LLC(+),ROCKET MORTGAGE LLC,1
PARK PLACE FINANCE LLC(+),TOURAK CAPITAL PARTNERS LLC,1
PARK PLACE FINANCE LLC,TKC PRIME DEVELOPMENTS LLC,1
PARK PLACE FINANCE LLC,PR 6605 ARGENTIA LLC,1
NATIONSTAR MORTGAGE LLC,PARK PLACE FINANCE LLC(+),1
PARK PLACE FINANCE LLC,STACKS & STANDARD LLC,1
PARK PLACE FINANCE LLC,RESOLUTE HEMPHILL OAKS LLC,1
PARK PLACE FINANCE LLC,WJM CONSTRUCTION LLC,1
BAT CITY FINANCIAL LLC,PARK PLACE FINANCE LLC,1
CHEUNG PROPERTIES LLC,PARK PLACE FINANCE LLC(+),1
90 RAINEY SIREET LLC,PARK PLACE FINANCE LLC,1
7 GENERATION REAL ESTATE LLC- 6500 STARSTREAK DRIVE SERIES,PARK PLACE FINANCE LLC,1
GENERATION REAL ESTATE LLC,PARK PLACE FINANCE LLC,1
PARK PLACE FINANCE LLC,RIDGEHA VEN DRIVE LLC,1
PARK PLACE FINANCE LLC(+),TOORAK CAPITAL PARTNERS LLC,1
LLIP LLC,PARK PLACE FINANCE LLC,1
CENTRETEX LEASING & MANAGEMENT LLC,PARK PLACE FINANCE LLC(+),1
PARK PLACE FINANCE LLC,TOVA PROPERTIES LLC,1
PARK PLACE FINANCE LLC,REALTECH CAPITAL LLC,1
