Property_ID,Owner_Name,Mailing_Address,Property_Address,Match_Reason
1004682P,SUNNOVA SAP IV LLC,20 GREENWAY PLAZA STE 475 HOUSTON TX US 77046,VARIOUS LOCATIONS PFLUGERVILLE 78660,Cluster: 12 entities at this mailing address
1004685P,SUNNOVA TEP 7-F LLC,20 GREENWAY PLAZA STE 475 HOUSTON TX US 77046,FORGETMENOT LN PFLUGERVILLE 78660,Cluster: 12 entities at this mailing address
1004686P,SUNNOVA TEP 8-B LLC,20 GREENWAY PLAZA STE 475 HOUSTON TX US 77046,VAROUS LOCATIONS TX,Cluster: 12 entities at this mailing address
1004687P,SUNNOVA TEP 8-C LLC,20 GREENWAY PLAZA STE 475 HOUSTON TX US 77046,VARIOUS LOCATIONS TX,Cluster: 12 entities at this mailing address
1004688P,SUNNOVA TEP 8-F LLC,20 GREENWAY PLAZA STE 475 HOUSTON TX US 77046,VARIOUS LOCATIONS TX,Cluster: 12 entities at this mailing address
1004689P,SUNNOVA TEP 8-G LLC,20 GREENWAY PLAZA STE 475 HOUSTON TX US 77046,VARIOUS LOCATIONS TX,Cluster: 12 entities at this mailing address
1004690P,SUNNOVA TEP-D LLC,20 GREENWAY PLAZA STE 475 HOUSTON TX US 77046,VARIOUS LOCATIONS TX,Cluster: 12 entities at this mailing address
1004691P,SUNNOVA LLC,20 GREENWAY PLAZA STE 475 HOUSTON TX US 77046,W ANDERSON LN AUSTIN 78757,Cluster: 12 entities at this mailing address
1004766P,ENTRUSTED PEDIATRIC HOME CARE LLC,5900 BALCONES DR STE 100 AUSTIN TX 787314298,STECK AVE AUSTIN 78759,Cluster: 113 entities at this mailing address
100485,1713 HETHER LLC,1801 S MOPAC EXPY STE 100 AUSTIN TX 787467546,HETHER ST 78704,Cluster: 12 entities at this mailing address
1005863P,PLAYTOMIC US INC,2323 VICTORY AVE SUITE 2000 DALLAS TX US 75202,RUTLAND DR AUSTIN 78758,HQ Zip: 75202 (TX)
100681,DEALY THELIN HOLDINGS LLC,5900 BALCONES DR STE 100 AUSTIN TX USA 787314298,ANN ARBOR AVE 78704,Cluster: 15 entities at this mailing address
101280,2151 BARTON HILLS LLC,1801 S MOPAC EXPY STE 100 AUSTIN TX 787467546,BARTON HILLS DR 78704,Cluster: 12 entities at this mailing address
